"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"162103","验证Catalog","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 提示词：请选择Catalog
3. 选择枚举值：基于数据源读取的catalog
4. 必选，仅支持单选
5. 切换Catalog","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 正确展示
4. 为空校验：请选择Catalog
5. Schema、事件来源表、时间筛选条件清空需要重新选择","2","功能测试"
"162102","验证Schema","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 提示词：请选择Schema
3. 选择枚举值：基于选择的Catalog读取的Schema
4. 必选，仅支持单选
5. 切换Schema","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 正确展示
4. 为空校验：请选择Schema
5. 事件来源表清空需要重新选择","2","功能测试"
"162101","验证事件来源表","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 提示词：请选择事件来源表
3. 选择枚举值：基于选择的Schema读取的table
4. 必选，仅支持单选
5. 重选表","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 正确展示
4. 为空校验：请选择事件来源表
5. 事件筛选条件清空需要重新配置","2","功能测试"
"162100","验证条件层级","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 请选择字段后点击“+”按钮
3. 新增至5级规则
4. 新增至6级规则
5. 点击同级下的“+”按钮","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 新增新一级规则成功，整体过滤条件最多到5级
3. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
4. 无法新增，前端请选择字段后不展示新增按钮
5. 添加同一级规则成功，同一级不限制条件数","1","功能测试"
"162099","验证条件判断","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 提示词
3. 选择字符类型字段
4. 选择数值型类型字段
5. 选择日期类型字段
6. 为空","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 请选择规则
3. 规则可选择等于、不等于、包含、不包含、有值、无值，单选
4. 规则可选择等于、不等于、大于、大于等于、小于、小于等于、有值、无值、区间，单选
5. 规则可选择绝对时间-等于、不等于、大于、大于等于、小于、小于等于绝对时间-区间、相对当前时间点、相对当前时间区间、有值、无值
6. 页面提示：请选择规则","2","功能测试"
"162098","验证点击添加过滤条件","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 默认只有个“+添加过滤条件”按钮
3. 点击““+添加过滤条件”按钮”后，查看“请选择字段”输入框
4. 字段为空
5. 标准下查看字段选择范围
6. 选择存储类型为逻辑关系的数据模型，标准设置下选择字段规则
7. 选择存储类型为物理表的数据模型，标准设置下选择字段规则
8. 自定义设置下，输入SQL
9. 未设置规则时","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 支持标准和自定义设置
4. 页面提示：请选择字段
5. 当前数据模型的所有表的字段
6. 业务限定条件从数据模型取，相应的SQL存储为t0.user_id
7. 业务限定条件从数据模型物理表取，相应的SQL存储为t0_user_id
8. 默认格式是t0.user_id，存储时根据选择的数据模型存储类型自动转换（数据模型存储为逻辑关系，SQL存储为t0.user_id，数据模型存储为物理表关系，SQL存储为t0_user_id）
9. 支持为空，保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态","1","功能测试"
"162097","验证字段名称","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 展示选中表的所有字段
3. 重选事件来源表","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 表字段更新","2","功能测试"
"162096","验证描述","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 默认填充：表字段的字段描述
3. 必填
4. 长度限制64字符
5. 整列不可重复","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 若有正确展示
3. 为空校验：请输入字段描述
4. 超长校验：限制输入64字符
5. 重复校验：描述重复","3","功能测试"
"162095","验证事件时间","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 默认均未选中
3. 必选，整列必须且只能选一个","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 为空校验：请选择事件时间","1","功能测试"
"162094","验证事件主体","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 默认均未选中
3. 必选，整列至少选一个
4. 勾选成功，出现绑定维度弹框
5. 已勾选的事件主体字段且绑定维度，取消勾选
6. 维度值域是否包括共享到当前项目下的维度信息","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 为空校验：请选择事件时间
4. 绑定维度不可重复，已绑定的维度置灰，不可重复绑定
5. 绑定维度解绑
6. 共享维度绑定成功，系统给出成功反馈，相关页面/数据状态更新为最新","1","功能测试"
"162093","验证经营过程主体","指标开发-事件管理","事件管理：支持事件的增删改查","无","1. 点击数据管理-事件管理，进入事件管理列表
2. 默认均未选中
3. 非必选，整列最多选一个","1. 点击新增/编辑事件进入新增/编辑事件页面
2. 正确展示
3. 选择项已高亮/回显选中状态，相关联动字段随之更新","2","功能测试"
